Setor,Data,Disponibilidade_Meta,Disponibilidade_Real,Desempenho_Meta,Desempenho_Real,Qualidade_Meta,Qualidade_Real,OeeVisaoGeral_Meta,OeeVisaoGeral_Real,ProducaoReal_Meta,ProducaoReal_Real,CapacidadeReal_Meta,CapacidadeReal_Real,CapacidadeInstalada_Meta,CapacidadeInstalada_Real,UtilizacaoCapacidade_Meta,UtilizacaoCapacidade_Real,CaixasNaoProduzidas_Meta,CaixasNaoProduzidas_Real,HorasAdicionaisAoProcesso_Meta,HorasAdicionaisAoProcesso_Real,HorasParadas_Meta,HorasParadas_Real,HorasReais_Meta,HorasReais_Real,DescartesCaixas_Meta,DescartesCaixas_Real,DescartesTampas_Meta,DescartesTampas_Real,DescartesEmbalagens_Meta,DescartesEmbalagens_Real,Refugo_Meta,Refugo_Real,SegundaLinha_Meta,SegundaLinha_Real
IMPRESSÃO,23/01/2020,,1.00,,1.04,,1.00,,1.04,-1160.54,28800.00,,1.04,,27639.46,,,12299.56,,0h,0,12.299,56,0,3,89,8:45,,,,,,,,,,
CORTE DE A4,24/01/2020,,1.00,,0.87,,0.99,,0.86,18.91,130.00,,0.87,,148.91,,,44.08,,0h,0,44,08,0,2,59,8:45,,,,,,0.01,,0.01,,0.01
CORTE DE BOBINAS,24/01/2020,,1.00,,0.97,,1.00,,0.97,2.75,76.00,,0.97,,78.75,,,24.76,,0h,0,24,76,0,2,75,8:45,,,,,,,,,,
IMPRESSÃO,24/01/2020,,1.00,,0.26,,1.00,,0.26,25400.00,8900.00,,0.26,,34300.00,,,15263.50,,0h,0,15.263,50,0,3,89,8:45,,,,,,,,,,
CORTE DE A4,27/01/2020,,1.00,,1.12,,-∞,,-∞,-19.50,177.00,,1.12,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.02,,
CORTE DE BOBINAS,27/01/2020,,1.00,,1.01,,1.00,,1.01,-0.36,64.00,,1.01,,63.64,,,20.01,,0h,0,20,01,0,2,75,8:45,,,,,,,,,,
IMPRESSÃO,27/01/2020,,1.00,,0.56,,1.00,,0.56,15000.00,19300.00,,0.56,,34300.00,,,15263.50,,0h,0,15.263,50,0,3,89,8:45,,,,,,,,,,
CORTE DE A4,28/01/2020,,1.00,,0.83,,-∞,,-∞,26.50,131.00,,0.83,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.01,,
CORTE DE BOBINAS,28/01/2020,,1.00,,1.16,,1.00,,1.16,-10.91,78.00,,1.16,,67.09,,,21.09,,0h,0,21,09,0,2,75,8:45,,,,,,,,,,
CORTE DE A4,29/01/2020,,1.00,,0.55,,0.92,,0.51,69.69,86.00,,0.55,,155.69,,,46.08,,0h,0,46,08,0,2,59,8:45,,,,,,0.06,,0.02,,0.01
